Motor Model	Cell Model	Voltage	Discharge Current Max	Weight
1545/6D/220	Tattu R-line 6s	281.2	182	6.61826924
1545/5.75D/230	Tattu R-line 6s	266.40000000000003	182	6.26993928
1545/5.5D/240	Tattu R-line 6s	251.60000000000002	182	5.92160932
1545/3Y/244	Tattu R-line 6s	251.60000000000002	182	5.92160932
1545/5.25D/251	Tattu R-line 6s	251.60000000000002	182	5.92160932
1545/5D/264	Tattu R-line 6s	236.8	182	5.57327936
1545/2.75Y/267	Tattu R-line 6s	236.8	182	5.57327936
1545/4.75D/278	Tattu R-line 6s	222.0	182	5.2249494
1545/2.5Y/293	Tattu R-line 6s	207.20000000000002	182	4.87661944
1545/4.5D/293	Tattu R-line 6s	207.20000000000002	182	4.87661944
1545/4.25D/311	Tattu R-line 6s	207.20000000000002	182	4.87661944
1545/2.25Y/326	Tattu R-line 6s	192.4	182	4.52828948
1545/4D/330	Tattu R-line 6s	192.4	182	4.52828948
1545/3.75D/352	Tattu R-line 6s	177.60000000000002	182	4.17995952
1545/2Y/367	Tattu R-line 6s	177.60000000000002	182	4.17995952
1545/3.5D/377	Tattu R-line 6s	162.8	182	3.83162956
1545/3.25D/406	Tattu R-line 6s	148.0	182	3.4832996
1545/1.75Y/419	Tattu R-line 6s	148.0	182	3.4832996
1545/3D/440	Tattu R-line 6s	148.0	182	3.4832996
1545/2.75D/480	Tattu R-line 6s	133.20000000000002	182	3.13496964
1545/1.5Y/489	Tattu R-line 6s	133.20000000000002	182	3.13496964
1545/2.5D/528	Tattu R-line 6s	118.4	182	2.78663968
1545/2.25D/587	Tattu R-line 6s	103.60000000000001	182	2.43830972
1545/1.25Y/587	Tattu R-line 6s	103.60000000000001	182	2.43830972
1545/2D/660	Tattu R-line 6s	103.60000000000001	182	2.43830972
1545/1Y/733	Tattu R-line 6s	88.80000000000001	182	2.08997976
1545/1.75D/754	Tattu R-line 6s	88.80000000000001	182	2.08997976
1545/1.5D/880	Tattu R-line 6s	74.0	182	1.7416498
1545/0.75Y/978	Tattu R-line 6s	74.0	182	1.7416498
1545/1.25D/1056	Tattu R-line 6s	59.2	182	1.39331984
1545/1D/1320	Tattu R-line 6s	59.2	182	1.39331984
1545/0.5Y/1467	Tattu R-line 6s	44.400000000000006	364	2.08997976
1545/0.75D/1760	Tattu R-line 6s	44.400000000000006	364	2.08997976
1545/0.5D/2640	Tattu R-line 6s	29.6	364	1.39331984
